pathway_id,pathway_name,entrez_id
hsa04370,VEGF signaling pathway,10000
hsa04370,VEGF signaling pathway,100137049
hsa04370,VEGF signaling pathway,110117499
hsa04370,VEGF signaling pathway,123745
hsa04370,VEGF signaling pathway,1432
hsa04370,VEGF signaling pathway,207
hsa04370,VEGF signaling pathway,208
hsa04370,VEGF signaling pathway,255189
hsa04370,VEGF signaling pathway,25759
hsa04370,VEGF signaling pathway,283748
hsa04370,VEGF signaling pathway,3265
hsa04370,VEGF signaling pathway,3315
hsa04370,VEGF signaling pathway,3791
hsa04370,VEGF signaling pathway,3845
hsa04370,VEGF signaling pathway,4773
hsa04370,VEGF signaling pathway,4846
hsa04370,VEGF signaling pathway,4893
hsa04370,VEGF signaling pathway,5290
hsa04370,VEGF signaling pathway,5291
hsa04370,VEGF signaling pathway,5293
hsa04370,VEGF signaling pathway,5295
hsa04370,VEGF signaling pathway,5296
hsa04370,VEGF signaling pathway,5321
hsa04370,VEGF signaling pathway,5335
hsa04370,VEGF signaling pathway,5336
hsa04370,VEGF signaling pathway,5530
hsa04370,VEGF signaling pathway,5532
hsa04370,VEGF signaling pathway,5533
hsa04370,VEGF signaling pathway,5534
hsa04370,VEGF signaling pathway,5535
hsa04370,VEGF signaling pathway,5578
hsa04370,VEGF signaling pathway,5579
hsa04370,VEGF signaling pathway,5582
hsa04370,VEGF signaling pathway,5594
hsa04370,VEGF signaling pathway,5595
hsa04370,VEGF signaling pathway,5600
hsa04370,VEGF signaling pathway,5603
hsa04370,VEGF signaling pathway,5604
hsa04370,VEGF signaling pathway,5605
hsa04370,VEGF signaling pathway,56848
hsa04370,VEGF signaling pathway,572
hsa04370,VEGF signaling pathway,5743
hsa04370,VEGF signaling pathway,5747
hsa04370,VEGF signaling pathway,5829
hsa04370,VEGF signaling pathway,5879
hsa04370,VEGF signaling pathway,5880
hsa04370,VEGF signaling pathway,5881
hsa04370,VEGF signaling pathway,5894
hsa04370,VEGF signaling pathway,6300
hsa04370,VEGF signaling pathway,6714
hsa04370,VEGF signaling pathway,7422
hsa04370,VEGF signaling pathway,7867
hsa04370,VEGF signaling pathway,842
hsa04370,VEGF signaling pathway,8503
hsa04370,VEGF signaling pathway,8605
hsa04370,VEGF signaling pathway,8681
hsa04370,VEGF signaling pathway,8877
hsa04370,VEGF signaling pathway,9047
hsa04370,VEGF signaling pathway,9261
hsa04370,VEGF signaling pathway,998
hsa04151,PI3K-Akt signaling pathway,10000
hsa04151,PI3K-Akt signaling pathway,10018
hsa04151,PI3K-Akt signaling pathway,100533105
hsa04151,PI3K-Akt signaling pathway,10110
hsa04151,PI3K-Akt signaling pathway,10161
hsa04151,PI3K-Akt signaling pathway,1017
hsa04151,PI3K-Akt signaling pathway,1019
hsa04151,PI3K-Akt signaling pathway,1021
hsa04151,PI3K-Akt signaling pathway,1026
hsa04151,PI3K-Akt signaling pathway,1027
hsa04151,PI3K-Akt signaling pathway,102723407
hsa04151,PI3K-Akt signaling pathway,10319
hsa04151,PI3K-Akt signaling pathway,10488
hsa04151,PI3K-Akt signaling pathway,10681
hsa04151,PI3K-Akt signaling pathway,10971
hsa04151,PI3K-Akt signaling pathway,1101
hsa04151,PI3K-Akt signaling pathway,110117499
hsa04151,PI3K-Akt signaling pathway,11140
hsa04151,PI3K-Akt signaling pathway,1128
hsa04151,PI3K-Akt signaling pathway,1129
hsa04151,PI3K-Akt signaling pathway,1147
hsa04151,PI3K-Akt signaling pathway,117145
hsa04151,PI3K-Akt signaling pathway,118788
hsa04151,PI3K-Akt signaling pathway,125467750
hsa04151,PI3K-Akt signaling pathway,1277
hsa04151,PI3K-Akt signaling pathway,1278
hsa04151,PI3K-Akt signaling pathway,1280
hsa04151,PI3K-Akt signaling pathway,1282
hsa04151,PI3K-Akt signaling pathway,1284
hsa04151,PI3K-Akt signaling pathway,1285
hsa04151,PI3K-Akt signaling pathway,1286
hsa04151,PI3K-Akt signaling pathway,1287
hsa04151,PI3K-Akt signaling pathway,1288
hsa04151,PI3K-Akt signaling pathway,1291
hsa04151,PI3K-Akt signaling pathway,1292
hsa04151,PI3K-Akt signaling pathway,1293
hsa04151,PI3K-Akt signaling pathway,1297
hsa04151,PI3K-Akt signaling pathway,1298
hsa04151,PI3K-Akt signaling pathway,1299
hsa04151,PI3K-Akt signaling pathway,1311
hsa04151,PI3K-Akt signaling pathway,131873
hsa04151,PI3K-Akt signaling pathway,1385
hsa04151,PI3K-Akt signaling pathway,1386
hsa04151,PI3K-Akt signaling pathway,1388
hsa04151,PI3K-Akt signaling pathway,1435
hsa04151,PI3K-Akt signaling pathway,1436
hsa04151,PI3K-Akt signaling pathway,1440
hsa04151,PI3K-Akt signaling pathway,1441
hsa04151,PI3K-Akt signaling pathway,1442
hsa04151,PI3K-Akt signaling pathway,1443
hsa04151,PI3K-Akt signaling pathway,1444
hsa04151,PI3K-Akt signaling pathway,146850
hsa04151,PI3K-Akt signaling pathway,148327
hsa04151,PI3K-Akt signaling pathway,1902
hsa04151,PI3K-Akt signaling pathway,1942
hsa04151,PI3K-Akt signaling pathway,1943
hsa04151,PI3K-Akt signaling pathway,1944
hsa04151,PI3K-Akt signaling pathway,1945
hsa04151,PI3K-Akt signaling pathway,1946
hsa04151,PI3K-Akt signaling pathway,1950
hsa04151,PI3K-Akt signaling pathway,1956
hsa04151,PI3K-Akt signaling pathway,1969
hsa04151,PI3K-Akt signaling pathway,1975
hsa04151,PI3K-Akt signaling pathway,1977
hsa04151,PI3K-Akt signaling pathway,1978
hsa04151,PI3K-Akt signaling pathway,200186
hsa04151,PI3K-Akt signaling pathway,2056
hsa04151,PI3K-Akt signaling pathway,2057
hsa04151,PI3K-Akt signaling pathway,2064
hsa04151,PI3K-Akt signaling pathway,2065
hsa04151,PI3K-Akt signaling pathway,2066
hsa04151,PI3K-Akt signaling pathway,2069
hsa04151,PI3K-Akt signaling pathway,207
hsa04151,PI3K-Akt signaling pathway,208
hsa04151,PI3K-Akt signaling pathway,2149
hsa04151,PI3K-Akt signaling pathway,2246
hsa04151,PI3K-Akt signaling pathway,2247
hsa04151,PI3K-Akt signaling pathway,2248
hsa04151,PI3K-Akt signaling pathway,2249
hsa04151,PI3K-Akt signaling pathway,2250
hsa04151,PI3K-Akt signaling pathway,2251
hsa04151,PI3K-Akt signaling pathway,2252
hsa04151,PI3K-Akt signaling pathway,2253
hsa04151,PI3K-Akt signaling pathway,2254
hsa04151,PI3K-Akt signaling pathway,2255
hsa04151,PI3K-Akt signaling pathway,2260
hsa04151,PI3K-Akt signaling pathway,2261
hsa04151,PI3K-Akt signaling pathway,2263
hsa04151,PI3K-Akt signaling pathway,2264
hsa04151,PI3K-Akt signaling pathway,2277
hsa04151,PI3K-Akt signaling pathway,22798
hsa04151,PI3K-Akt signaling pathway,22801
hsa04151,PI3K-Akt signaling pathway,23035
hsa04151,PI3K-Akt signaling pathway,2309
hsa04151,PI3K-Akt signaling pathway,2321
hsa04151,PI3K-Akt signaling pathway,2322
hsa04151,PI3K-Akt signaling pathway,2323
hsa04151,PI3K-Akt signaling pathway,23239
hsa04151,PI3K-Akt signaling pathway,2324
hsa04151,PI3K-Akt signaling pathway,2335
hsa04151,PI3K-Akt signaling pathway,23533
hsa04151,PI3K-Akt signaling pathway,23566
hsa04151,PI3K-Akt signaling pathway,23678
hsa04151,PI3K-Akt signaling pathway,2475
hsa04151,PI3K-Akt signaling pathway,253314
hsa04151,PI3K-Akt signaling pathway,2538
hsa04151,PI3K-Akt signaling pathway,256076
hsa04151,PI3K-Akt signaling pathway,26281
hsa04151,PI3K-Akt signaling pathway,26291
hsa04151,PI3K-Akt signaling pathway,2668
hsa04151,PI3K-Akt signaling pathway,2688
hsa04151,PI3K-Akt signaling pathway,2689
hsa04151,PI3K-Akt signaling pathway,2690
hsa04151,PI3K-Akt signaling pathway,27006
hsa04151,PI3K-Akt signaling pathway,2782
hsa04151,PI3K-Akt signaling pathway,2783
hsa04151,PI3K-Akt signaling pathway,2784
hsa04151,PI3K-Akt signaling pathway,2785
hsa04151,PI3K-Akt signaling pathway,2786
hsa04151,PI3K-Akt signaling pathway,2787
hsa04151,PI3K-Akt signaling pathway,2788
hsa04151,PI3K-Akt signaling pathway,2790
hsa04151,PI3K-Akt signaling pathway,2791
hsa04151,PI3K-Akt signaling pathway,2792
hsa04151,PI3K-Akt signaling pathway,2793
hsa04151,PI3K-Akt signaling pathway,28227
hsa04151,PI3K-Akt signaling pathway,284
hsa04151,PI3K-Akt signaling pathway,284217
hsa04151,PI3K-Akt signaling pathway,2846
hsa04151,PI3K-Akt signaling pathway,285
