model,assay,r2_train,r2_cv,delta_r2,rmsecv,rmsep
Random Forest,DPPH,0.934,0.822,0.112,0.165,0.181
XGBoost,DPPH,0.945,0.805,0.140,0.172,0.194
Chemprop,DPPH,0.927,0.778,0.149,0.184,0.212
SVR-Tanimoto,DPPH,0.895,0.791,0.104,0.178,0.193
MK-Ensemble,DPPH,0.926,0.846,0.080,0.154,0.172
Random Forest,ABTS,0.912,0.795,0.117,0.142,0.158
XGBoost,ABTS,0.954,0.842,0.112,0.125,0.141
Chemprop,ABTS,0.936,0.818,0.118,0.134,0.155
SVR-Tanimoto,ABTS,0.941,0.862,0.079,0.117,0.131
MK-Ensemble,ABTS,0.970,0.920,0.050,0.089,0.096
